target,mean,median,std deviation,variance,coefficient of variance,kurtosis,interquartile range ,trim mean,minimum,maximum ,skewness
1,146.95,9,294.59,86784.7,2.005,348334.9,9,34.8,0,3526,3.88
1,153.66,9,330.8,109429.78,2.15,-844419.44,9,22.41,0,4228,3.52
1,256.3,50,399.88,159904.88,1.51,45878.19,50,104.38,3,3847,2.07
1,274.87,61,446.05,198959.65,1.62,87715.88,61,101.36,0,6776,2.8
1,167.25,30,298.72,89233.42,1.79,765658.64,30,48.88,0,4609,3.05
1,196.42,10,334.7,112024.05,1.7,-120047.37,10,59.18,0,4129,2.6
1,261.81,7,453.96,206075.9,1.73,172441.47,7,62.77,0,4778,2.21
1,184.93,3,415.25,172434,2.25,848793.81,3,33.61,0,5437,4.15
1,178.77,32,308.09,94917.28,1.72,67499.78,32,59.19,0,2821,2.68
1,289.65,103,406.6,165327.2,1.4,182811.24,103,142.99,0,4935,2.04
1,129.38,0,284.54,80960.4,2.2,115611.74,0,13.95,0,3506,3.29
1,151.44,13,273.99,75072.6,1.81,-90260.46,13,40.83,0,3622,3.04
1,221.35,36,347.34,120642.32,156.92,-770894.02,36,82.79,0,4859,2.28
1,75.05,0,186.93,34941.77,249.07,-291946.51,0,4.33,0,2929,4.23
1,109.53,0,232.74,54166.62,212.48,875458.29,0,20.62,0,6425,4.78
1,146.44,0,325.99,106270.35,222.61,-1511047,0,9.52,0,6964,3.66
1,85.84,12,176.91,31298.13,206.09,429730.89,12,23.73,0,3195,5.62
1,71.1,3,136.14,18533.42,191.46,140055.29,3,19.65,0,1355,3.27
1,157.24,19,286.97,82354.14,182.51,-200611.65,19,42.75,0,8000,3.65
1,54.7,0,148.19,21959.07,270.92,245016.97,0,1.29,0,2150,4.35
2,98.55,0,289.66,83900.2,2.94,0,0,1.22,0,6117,5.04
2,398.88,141,533.95,285106,1.34,174758.67,141,204.76,0,4927,1.64
2,216.69,0,341.52,116637.67,1.58,0,31,55.69,0,3974,2.53
2,138.16,3,331.34,109787.51,2.4,-782915.36,3,13.12,0,4354,3.83
2,133.89,3,303.73,92251.33,2.27,0,3,4.82,0,3314,3.04
2,152.3,5,389.84,151976.48,2.56,0,5,5.67,0,7431,3.86
2,162.62,5,446.61,199457.33,2.74,0,5,4.94,0,8000,5.58
2,290.49,21,455.95,207894.19,1.57,225839.5,21,114.8,0,6321,2.43
2,107.27,7,235.23,55332.23,2.19,-309909.93,7,13.5,0,2674,3.36
2,280.41,41,435.57,189721.87,1.55,-76694.09,41,106.68,0,4245,2.2
2,162.98,3,314.31,98792.13,1.93,167771.39,3,36.52,0,6752,3.34
2,93.31,2,199.14,39660.97,2.13,-261901.17,2,6.95,0,2682,2.82
2,168.28,26,284.62,81006.71,1.69,87903.31,26,56.64,0,3180,2.72
2,343.72,60,554.32,307274.66,1.61,281400.94,60,121.66,0,5931,2.28
2,278.2,71,422.31,178345.19,1.52,61823.16,71,121.55,0,4935,2.38
2,205.89,48,327.59,107318.28,1.59,284163.79,48,83.95,0,8000,3.5
2,176.77,0,314.96,99197.83,178.17,-257992.03,0,44.53,0,4658,2.61
2,241.54,52,383.4,146999.3,158.73,172221.18,52,90.88,0,4517,2.34
2,169.43,0,309.14,95569.67,182.46,-535098.08,0,40.47,0,2918,2.66
2,229.96,3,422.07,178143.69,183.54,756672.53,3,49.52,0,8000,3.34
